MAKE,MODEL,TYPE,COMBINED.MPG.2015,CURB.WEIGHT.2015,STARTING.MSRP.2015,INFLATION.ADJUST.2024,STARTING.MSRP.2024,COMBINED.MPG.2024,CURB.WEIGHT.2024,NOTE.2024
Buick,Enclave,SUV,19,4724,43450,57354,43900,21,4359,
Buick,Encore,SUV,28,3237,24064,31764.48,25600,30,3023,
Buick,LaCrosse,Sedan,28,3770,35725,47157,NA,NA,NA,
Buick,Regal,Sedan,24,3692,29990,39586.8,NA,NA,NA,
Cadillac,Escalade,SUV,17,5840,84070,110972.4,96195,16,5823,
Cadillac,SRX,SUV,19,4277,43640,57604.8,NA,NA,NA,
Chevrolet,Equinox,SUV,26,3758,26170,34544.4,29495,28,3325,
Chevrolet,Suburban,SUV,18,5775,66785,88156.2,69300,16,5824,
Chevrolet,Tahoe,SUV,18,5545,64085,84592.2,66300,17,5661,
Chevrolet,Traverse,SUV,19,4647,33795,44609.4,46400,21,4630,
Chevrolet,Trax,SUV,29,2805,22445,29627.4,22100,30,3062,
Chevrolet,Colorado,Pickup,21,4230,28630,37791.6,37300,18,4640,
Chevrolet,Silvarado 1500,Pickup,18,5278,50850,67122,54700,17,5080,
Chevrolet,Malibu,Sedan,29,3439,23610,31165.2,26000,30,3135,
Chevrolet,Cruze,Compact,30,3118,20095,26525.4,NA,NA,NA,
Chevrolet,Sonic,Compact,28,2745,17425,23001,NA,NA,NA,
Chrysler,200,Sedan,28,3473,23950,31614,NA,NA,NA,
Dodge,Durango,SUV,19,4987,39495,52133.4,46170,21,4986,
Dodge,Journey,SUV,21,3818,26595,35105.4,NA,NA,NA,
Dodge,Charger,Sedan,23,3966,29995,39593.4,NA,NA,NA,
Dodge,Dart,Compact,27,3297,19000,25080,NA,NA,NA,
Ford,Edge,SUV,23,3927,33495,44213.4,39565,23,4122,
Ford,Escape,SUV,26,3515,25650,33858,29345,30,3283,
Ford,Expedition,SUV,17,5846,57220,75530.4,75260,18,5794,
Ford,Explorer,SUV,20,4557,33000,43560,40570,23,4345,
Ford,Fusion,Sedan,26,3461,24035,31726.2,NA,NA,NA,
Ford,Taurus,Sedan,23,4054,29485,38920.2,NA,NA,NA,
Ford,Fiesta,Compact,31,2578,15685,20704.2,NA,NA,NA,
Ford,Focus,Compact,30,2932,18460,24367.2,NA,NA,NA,
GMC,Acadia,SUV,19,4850,49690,65590.8,50000,21,4800,
GMC,Terrain,SUV,26,3853,26560,35059.2,28700,26,3419,
GMC,Yukon,SUV,16,5746,67520,89126.4,79805,16,5827,
GMC,Canyon,Pickup,21,4200,30055,39672.6,43000,19,4670,
GMC,Sierra 1500,Pickup,18,5278,46510,61393.2,57900,17,5110,
Honda,CR-V,SUV,28,3552,26795,35369.4,36160,29,3635,
Honda,Crosstour,SUV,22,4105,35290,46582.8,NA,NA,NA,
Honda,Pilot,SUV,20,4550,36970,48800.4,52480,21,4660,
Honda,Accord,Sedan,31,3254,22905,30234.6,29910,32,3280,
Honda,Civic,Compact,33,2811,19290,25462.8,25550,33,2935,
Honda,Fit,Compact,36,2513,16450,21714,NA,NA,NA,
Hyundai,Santa Fe,SUV,21,3933,30150,39798,36450,24,4343,
Hyundai,Tucson,SUV,25,3232,21650,28578,27500,28,3342,
Hyundai,Sonata,Sedan,28,3252,23175,30591,27500,29,3305,
Hyundai,Genesis,Sedan,18,4541,51500,67980,NA,NA,NA,
Hyundai,Accent,Compact,30,2546,15745,20783.4,NA,NA,NA,
Hyundai,Elantra,Compact,28,2923,22600,29832,23575,34,2868,
Jeep,Cherokee,SUV,24,4044,27095,35765.4,NA,NA,NA,
Jeep,Compass,SUV,26,3097,18995,25073.4,36245,27,3620,
Jeep,Grand Cherokee,SUV,19,4875,39065,51565.8,50230,22,4413,
Jeep,Patriot,SUV,26,3111,16895,22301.4,NA,NA,NA,
Jeep,Renegade,SUV,27,3190,23295,30749.4,NA,NA,NA,
Jeep,Wrangler,SUV,18,4269,32795,43289.4,31995,19,3948,
Kia,Sorento,SUV,23,3594,24300,32076,34390,26,3975,
Kia,Sportage,SUV,24,3280,21900,28908,29090,28,3661,
Kia,Optima,Sedan,27,3237,21840,28828.8,NA,NA,NA,
Kia,Forte,Compact,31,2844,17490,23086.8,20490,32,2908,
Kia,Rio,Compact,31,2573,15190,20050.8,NA,NA,NA,
Mazda,CX-5,SUV,26,3532,29220,38570.4,30650,25,3710,
Mazda,CX-9,SUV,19,4323,32480,42873.6,Na,NA,NA,
Mazda,6,Sedan,30,3232,24895,32861.4,NA,NA,NA,
Mazda,3,Compact,34,2918,20645,27251.4,24690,31,3124,
Nissan,Armada,SUV,14,5841,53680,70857.6,67790,16,5789,
Nissan,Murano,SUV,24,3977,38550,50886,43850,23,4071,
Nissan,Pathfinder,SUV,22,4506,37900,50028,50950,22,4625,
Nissan,Rogue,SUV,28,3545,25840,34108.8,30110,33,3530,
Nissan,Titan,Pickup,15,5151,34140,45064.8,53850,16,5800,
Nissan,Altima,Sedan,31,3191,22560,29779.2,28200,31,3329,
Ram,1500,Pickup,17,5467,44850,59202,50385,21,5083,MILD HYBRID
Subaru,Forester,SUV,27,3391,25095,33125.4,30295,29,3528,
Subaru,Outback,SUV,28,3633,30295,39989.4,31195,28,3661,
Subaru,Crosstrek,SUV,29,3186,23295,30749.4,26345,29,3276,
Subaru,Legacy,Sedan,30,3455,23795,31409.4,27195,30,3508,
Subaru,Impreza,Compact,31,3076,21495,28373.4,22995,30,3171,
Toyota,4Runner,SUV,18,4805,43620,57578.4,47130,17,4750,
Toyota,Highlander,SUV,20,4464,39050,51546,44020,24,4376,
Toyota,Land Cruiser,SUV,15,5765,80155,105804.6,74950,23,5038,MILD HYBRID
Toyota,RAV4,SUV,25,3585,26640,35164.8,31585,29,3515,
Toyota,Sequoia,SUV,15,6000,64320,84902.4,76865,20,6150,HYBRID
Toyota,Venza,SUV,21,4045,35600,46992,43215,39,3913,HYBRID
Toyota,Tacoma,Pickup,18,4220,28235,37270.2,42600,20,4485,
Toyota,Tundra,Pickup,15,5665,42550,56166,50550,19,5390,
Toyota,Camry,Sedan,28,3300,23840,31468.8,27960,32,3340,
Toyota,Avalon,Sedan,24,3549,36080,47625.6,NA,NA,NA,
Toyota,Corolla,Compact,32,2855,18565,24505.8,22050,35,2955,
Toyota,Yaris,Compact,32,2335,16880,22281.6,NA,NA,NA,
